timestamp,x,y,z
0,7.48,2.3,-3.28
10,7.02,2.21,-2.89
20,6.91,2.33,-2.28
30,7.09,2.35,-1.5
40,7.58,2.11,-0.64
50,8.06,2.02,0.14
60,8.08,1.81,0.51
70,7.56,1.58,0.42
80,6.69,1.51,-0.22
90,6.06,1.47,-1.33
100,5.39,1.73,-2.74
110,4.46,1.91,-4.22
120,3.69,2.16,-5.3
130,3.09,2.24,-5.82
140,2.74,2.18,-5.8
150,3.08,2.15,-5.7
160,3.64,1.97,-5.77
170,4.11,1.91,-5.61
180,3.83,1.82,-5.04
190,2.84,1.42,-4.33
200,1.44,1.02,-3.97
210,-0.03,1.03,-3.7
220,-1.31,0.85,-2.73
230,-2.37,0.95,-1.74
240,-2.71,-0.07,-1.17
250,-1.63,-1.39,-0.82
260,0.42,-2.98,-1.22
270,2.4,-4.41,-2.58
280,3.54,-5.54,-4.52
290,3.47,-5.86,-6.56
300,2.37,-5.66,-8.97
310,0.71,-5.27,-10.87
320,-1.59,-5.49,-11.4
330,-3.67,-6.14,-11.51
340,-4.28,-7.39,-12.79
350,-4.22,-8.29,-14.74
360,-2.98,-8.89,-16.96
370,-1.12,-7.99,-19.21
380,-0.45,-6.77,-20.35
390,-0.86,-6.37,-20.01
400,-3.26,-6.87,-19.39
410,-5.07,-7.66,-18.36
420,-5.86,-8.88,-17.32
430,-6.07,-10.02,-16.8
440,-3.6,-10.91,-16.81
450,0.06,-11.34,-16.69
460,3.1,-11.14,-15.86
470,4.16,-10.91,-14.63
480,2.62,-10.67,-13.59
490,-0.45,-10.44,-13.34
500,-3.28,-10.42,-13.93
510,-4.64,-10.69,-14.98
520,-3.78,-11.3,-15.48
530,-1.3,-11.93,-14.44
540,1.38,-12.53,-12.35
550,3.13,-12.72,-9.96
560,3.47,-12.61,-8.27
570,3.01,-12.52,-8.46
580,1.85,-12.29,-11.02
590,1.36,-12.39,-14.09
600,1.86,-13.01,-16.09
610,3.34,-13.52,-15.6
620,5.05,-14.04,-13.56
630,6.28,-14.25,-11.44
640,7.03,-13.84,-10.38
650,7.35,-12.96,-10.81
660,7.09,-12.23,-12.36
670,6.75,-11.75,-14.02
680,6.82,-12.86,-14.55
690,7.32,-14.26,-12.56
700,8.65,-14.59,-9.42
710,10.57,-13.99,-7.4
720,12.12,-13.4,-6.78
730,12.85,-12.08,-7.67
740,13.19,-11.17,-9.96
750,13.28,-10.41,-12.64
760,13.4,-10.67,-14.53
770,13.6,-11.25,-14.79
780,13.2,-11.57,-13.04
790,12.56,-11.5,-10.08
800,11.93,-10.92,-7.12
810,10.82,-9.89,-4.65
820,9.15,-8.57,-2.42
830,7.81,-7.06,-0.88
840,7.5,-6.71,-0.18
850,7.6,-5.66,0.42
860,8.46,-4.21,0.23
870,9.29,-3.29,-1.25
880,9.05,-1.8,-3.32
890,7.58,-1.09,-4.17
900,5.19,-0.49,-4.69
910,2.82,0.05,-4.47
920,0.86,0.45,-4.12
930,-0.08,1.0,-3.71
940,0.23,1.3,-3.02
950,1.58,1.7,-2.04
960,3.09,2.05,-1.01
970,3.82,2.27,0.05
980,3.32,2.24,0.99
990,2.09,2.16,1.59
1000,0.77,2.06,1.69
