timestamp,x,y,z
0,2.01,5.06,-6.48
10,1.88,4.95,-6.08
20,1.82,4.68,-5.66
30,1.89,4.44,-5.17
40,1.84,4.07,-4.45
50,1.39,3.54,-3.75
60,0.81,3.0,-3.54
70,0.54,2.6,-4.43
80,0.86,2.41,-6.1
90,1.41,2.28,-7.61
100,1.79,2.16,-8.22
110,1.78,1.95,-8.01
120,1.32,1.66,-7.44
130,0.42,1.24,-7.08
140,-0.62,0.78,-7.31
150,-1.42,0.51,-8.2
160,-1.96,0.33,-9.74
170,-2.26,0.05,-11.83
180,-2.06,-0.05,-14.12
190,-1.02,0.17,-15.94
200,-0.38,-0.19,-16.37
210,0.41,-0.52,-15.19
220,1.14,-0.68,-13.3
230,1.55,-1.19,-11.65
240,1.94,-1.44,-10.59
250,2.11,-1.78,-10.49
260,2.32,-1.93,-11.15
270,2.38,-1.92,-12.18
280,1.92,-1.98,-12.93
290,1.48,-2.4,-13.27
300,1.61,-2.59,-13.35
310,2.14,-2.75,-13.19
320,2.77,-2.94,-12.9
330,3.48,-2.82,-12.81
340,3.61,-3.2,-12.79
350,3.63,-3.28,-12.87
360,3.27,-3.4,-13.18
370,2.92,-3.44,-13.51
380,2.75,-3.53,-13.68
390,2.85,-3.75,-13.41
400,3.08,-3.92,-12.69
410,3.35,-4.07,-12.04
420,3.68,-4.08,-11.78
430,3.89,-4.11,-11.9
440,4.05,-4.29,-12.27
450,4.25,-4.4,-12.55
460,4.53,-4.64,-12.48
470,5.12,-4.98,-11.93
480,6.09,-5.2,-11.13
490,6.98,-5.1,-10.35
500,7.29,-4.88,-9.83
510,6.93,-4.61,-9.74
520,6.24,-4.41,-10.18
530,5.66,-4.13,-10.84
540,5.42,-3.94,-11.42
550,5.37,-3.87,-11.59
560,5.31,-3.95,-11.33
570,5.54,-4.1,-10.95
580,6.08,-4.11,-10.43
590,6.6,-4.15,-10.01
600,6.89,-4.04,-10.01
610,7.14,-3.68,-10.51
620,7.2,-3.33,-11.43
630,7.23,-3.21,-12.33
640,7.47,-3.24,-12.45
650,7.8,-3.47,-11.7
660,8.0,-3.83,-10.41
670,8.68,-3.8,-9.23
680,9.45,-3.63,-8.62
690,9.93,-3.34,-8.77
700,9.87,-2.91,-8.94
710,9.31,-2.57,-9.11
720,8.87,-2.35,-9.41
730,8.86,-2.14,-9.72
740,9.35,-1.92,-9.73
750,10.03,-1.77,-9.19
760,10.64,-1.53,-8.32
770,10.83,-1.28,-7.52
780,10.38,-0.92,-6.97
790,9.65,-0.49,-6.78
800,8.71,-0.03,-6.63
810,7.79,0.28,-6.33
820,7.14,0.42,-5.96
830,6.9,0.54,-5.51
840,7.41,0.82,-5.2
850,8.12,1.2,-5.14
860,8.43,1.56,-5.24
870,8.26,1.9,-5.46
880,7.68,2.22,-5.72
890,6.77,2.52,-5.79
900,5.86,2.78,-5.62
910,5.13,3.09,-5.5
920,4.93,3.16,-5.71
930,4.96,3.17,-5.68
940,5.04,3.27,-5.42
950,4.97,3.4,-5.04
960,4.74,3.52,-4.76
970,4.49,3.71,-4.57
980,4.04,3.77,-4.36
990,3.39,3.8,-4.25
1000,2.87,3.79,-4.11
