timestamp,x,y,z
0,1.38,3.28,-9.57
10,1.4,3.31,-9.65
20,1.58,3.34,-9.77
30,1.87,3.41,-9.9
40,2.31,3.42,-9.77
50,2.78,3.36,-9.4
60,3.32,3.28,-9.03
70,3.88,3.16,-8.84
80,4.54,2.98,-8.75
90,5.3,2.81,-8.68
100,5.83,2.67,-8.56
110,6.05,2.48,-8.41
120,6.21,2.36,-8.25
130,6.56,2.12,-8.24
140,6.87,1.87,-8.45
150,7.18,1.75,-8.98
160,7.25,1.69,-9.77
170,7.0,1.55,-10.26
180,6.63,1.48,-10.19
190,6.27,1.25,-9.5
200,6.28,1.08,-8.7
210,6.86,1.07,-8.3
220,7.34,1.14,-8.18
230,7.11,1.22,-7.89
240,5.92,1.05,-7.18
250,4.78,0.79,-6.27
260,4.09,0.61,-5.51
270,3.97,0.52,-5.32
280,4.02,0.45,-5.73
290,4.01,0.45,-6.29
300,3.56,0.44,-6.67
310,2.54,0.31,-6.49
320,0.98,0.3,-5.98
330,-0.75,0.45,-5.63
340,-2.48,0.74,-5.81
350,-4.02,0.91,-6.31
360,-5.1,0.93,-6.85
370,-5.35,0.96,-7.15
380,-4.97,1.03,-7.44
390,-4.14,1.2,-7.71
400,-3.34,1.43,-7.83
410,-2.67,1.78,-7.69
420,-2.24,1.64,-7.13
430,-2.21,1.12,-6.19
440,-2.42,0.44,-5.31
450,-2.96,-0.23,-5.26
460,-3.91,-0.61,-6.54
470,-4.93,-0.67,-8.78
480,-5.73,-0.45,-10.59
490,-6.13,-0.2,-11.53
500,-6.55,-0.4,-11.12
510,-6.38,-1.08,-9.89
520,-5.72,-2.03,-9.21
530,-4.74,-2.74,-9.82
540,-3.88,-3.37,-11.2
550,-3.31,-3.76,-12.83
560,-2.91,-3.81,-14.33
570,-2.47,-3.64,-15.04
580,-2.33,-3.26,-14.23
590,-2.82,-3.45,-11.73
600,-3.42,-4.03,-9.04
610,-3.3,-4.71,-7.5
620,-2.5,-5.19,-7.56
630,-1.65,-5.6,-8.84
640,-0.86,-5.8,-10.51
650,-0.34,-5.63,-12.11
660,-0.23,-5.45,-13.18
670,-0.57,-5.32,-13.44
680,-1.25,-5.56,-12.87
690,-1.91,-6.05,-12.13
700,-1.96,-6.55,-12.03
710,-1.38,-6.78,-12.52
720,-0.55,-6.9,-12.91
730,0.08,-7.05,-12.9
740,0.17,-7.34,-12.69
750,0.0,-7.72,-12.39
760,0.02,-8.18,-11.91
770,0.72,-8.43,-11.51
780,1.69,-8.45,-11.37
790,2.59,-8.43,-11.32
800,3.37,-8.4,-11.22
810,3.69,-8.39,-10.95
820,3.56,-8.43,-10.61
830,3.34,-8.59,-10.53
840,3.42,-8.91,-10.64
850,4.01,-8.98,-10.9
860,4.82,-8.78,-11.35
870,5.39,-8.52,-11.82
880,5.57,-8.23,-12.12
890,5.16,-8.15,-12.03
900,4.35,-8.12,-11.71
910,4.05,-7.99,-11.63
920,4.32,-7.81,-11.84
930,4.78,-7.76,-11.89
940,5.03,-7.81,-11.63
950,5.08,-7.74,-11.11
960,5.32,-7.51,-10.36
970,5.83,-7.24,-9.61
980,6.43,-7.14,-8.99
990,6.85,-6.88,-8.6
1000,7.01,-6.55,-8.4
