timestamp,x,y,z
0,8.22,3.33,-6.44
10,8.35,3.28,-6.04
20,8.93,3.19,-5.9
30,9.9,2.91,-6.1
40,11.26,2.74,-6.56
50,12.18,2.75,-7.0
60,11.88,2.52,-7.07
70,10.43,2.34,-6.64
80,8.49,2.2,-5.79
90,6.76,1.9,-4.62
100,5.75,1.54,-3.29
110,5.89,1.73,-2.15
120,6.68,1.87,-1.77
130,7.58,2.08,-2.1
140,8.13,2.23,-2.69
150,8.18,2.2,-3.3
160,7.8,2.1,-3.95
170,6.96,1.94,-4.36
180,5.65,1.58,-4.47
190,4.41,1.35,-4.31
200,3.22,1.36,-4.23
210,2.16,1.24,-4.65
220,1.16,1.34,-5.35
230,0.01,1.5,-6.05
240,-1.11,1.55,-6.72
250,-2.08,1.55,-7.36
260,-2.47,1.73,-7.87
270,-2.03,1.67,-8.24
280,-0.87,1.65,-8.28
290,0.54,1.46,-8.13
300,1.12,0.85,-7.74
310,0.57,0.41,-7.45
320,-0.41,-0.07,-7.89
330,-1.14,-0.4,-9.13
340,-0.99,-0.41,-10.55
350,-0.74,-0.09,-11.36
360,-0.88,0.22,-11.29
370,-1.14,-0.04,-11.04
380,-1.27,-0.69,-10.88
390,-1.37,-1.25,-10.92
400,-1.55,-1.92,-10.96
410,-1.98,-2.46,-10.91
420,-2.09,-2.83,-11.14
430,-1.83,-3.01,-11.88
440,-1.55,-2.76,-12.34
450,-1.7,-2.72,-12.0
460,-1.94,-3.27,-11.29
470,-1.81,-4.08,-10.78
480,-1.45,-4.77,-10.76
490,-1.02,-5.11,-11.29
500,-0.66,-5.24,-12.17
510,-0.54,-5.26,-13.0
520,-0.68,-5.39,-13.46
530,-1.0,-5.76,-13.75
540,-1.39,-6.12,-13.74
550,-1.9,-6.49,-13.61
560,-2.12,-6.98,-13.71
570,-1.84,-7.24,-13.84
580,-1.51,-7.43,-13.99
590,-1.36,-7.61,-14.0
600,-1.19,-7.94,-13.72
610,-0.73,-8.38,-13.14
620,0.16,-8.99,-12.18
630,1.21,-9.54,-11.05
640,2.39,-9.82,-10.22
650,3.95,-9.7,-9.94
660,5.18,-9.13,-10.04
670,5.58,-8.58,-10.28
680,5.1,-8.45,-10.31
690,4.15,-8.59,-10.25
700,3.8,-8.85,-10.61
710,4.31,-9.03,-11.8
720,5.12,-9.19,-13.59
730,5.37,-9.06,-14.96
740,5.12,-9.06,-14.86
750,5.09,-8.98,-13.33
760,5.47,-8.91,-11.37
770,6.05,-8.85,-9.7
780,7.07,-8.64,-8.81
790,8.12,-8.28,-8.94
800,8.84,-7.91,-9.87
810,8.96,-7.44,-10.96
820,8.45,-7.29,-11.37
830,8.06,-7.44,-10.71
840,8.21,-7.26,-9.54
850,9.01,-6.96,-8.59
860,9.96,-6.43,-8.43
870,10.29,-5.81,-8.83
880,9.92,-5.26,-9.52
890,9.17,-4.64,-9.82
900,7.92,-4.11,-9.42
910,6.68,-4.09,-8.58
920,6.52,-3.93,-8.15
930,7.71,-3.57,-8.38
940,9.32,-3.21,-8.54
950,10.05,-2.9,-8.1
960,9.69,-2.62,-7.29
970,8.83,-2.36,-6.64
980,7.74,-2.0,-6.05
990,6.49,-1.37,-5.56
1000,5.37,-0.94,-5.29
