timestamp,x,y,z
0,2.8,3.98,-8.88
10,2.87,4.02,-8.88
20,2.98,4.1,-8.83
30,3.12,4.15,-8.71
40,3.24,4.15,-8.59
50,3.22,4.1,-8.35
60,3.1,4.04,-8.18
70,3.12,3.95,-8.15
80,3.14,3.93,-8.32
90,3.11,3.88,-8.53
100,3.21,3.82,-8.7
110,3.42,3.87,-8.76
120,3.59,3.88,-8.78
130,3.61,3.95,-8.75
140,3.51,4.02,-8.63
150,3.44,4.03,-8.43
160,3.44,4.01,-8.18
170,3.4,4.0,-8.08
180,3.52,3.94,-8.06
190,3.9,3.91,-8.09
200,4.51,3.86,-8.15
210,5.31,3.77,-8.1
220,6.17,3.51,-8.08
230,7.01,3.08,-8.17
240,7.75,2.95,-8.41
250,7.92,2.85,-8.7
260,7.22,2.77,-8.73
270,5.93,2.7,-8.37
280,5.02,2.62,-7.83
290,5.03,2.63,-7.41
300,5.62,2.64,-7.01
310,6.49,2.53,-6.45
320,7.17,2.44,-5.76
330,7.33,2.25,-4.9
340,7.15,2.02,-4.17
350,6.61,1.66,-3.84
360,5.65,1.35,-3.85
370,4.2,1.17,-4.19
380,2.64,1.22,-4.97
390,1.25,1.6,-5.89
400,-0.22,2.3,-6.3
410,-1.59,2.71,-6.02
420,-2.26,2.84,-5.41
430,-1.88,2.72,-4.64
440,-0.89,2.33,-3.84
450,0.09,1.75,-3.34
460,0.54,1.26,-3.56
470,0.37,0.76,-4.63
480,-0.3,0.61,-6.06
490,-1.8,0.83,-7.06
500,-3.34,1.11,-7.3
510,-5.46,1.58,-6.41
520,-7.53,1.12,-5.11
530,-8.84,0.07,-5.43
540,-8.43,-0.79,-7.61
550,-6.37,-1.26,-10.64
560,-3.85,-1.62,-13.27
570,-2.41,-1.84,-13.94
580,-2.5,-2.02,-12.73
590,-3.41,-2.88,-10.89
600,-4.06,-3.86,-9.54
610,-4.16,-4.47,-9.38
620,-3.94,-4.99,-10.3
630,-3.4,-5.19,-11.81
640,-3.34,-4.92,-12.99
650,-3.44,-4.88,-12.91
660,-3.65,-5.2,-12.15
670,-4.17,-5.54,-11.41
680,-4.7,-6.24,-11.2
690,-4.17,-6.68,-11.86
700,-3.24,-6.89,-12.42
710,-2.57,-7.22,-12.9
720,-2.18,-7.25,-13.69
730,-2.23,-7.21,-14.19
740,-2.28,-7.22,-14.02
750,-2.28,-7.43,-13.23
760,-2.16,-7.78,-12.33
770,-1.8,-7.99,-12.05
780,-1.56,-8.3,-12.72
790,-1.48,-8.63,-13.93
800,-1.11,-8.84,-14.96
810,-0.46,-8.71,-15.37
820,0.02,-8.37,-15.04
830,-0.05,-8.31,-14.02
840,-0.13,-8.64,-12.49
850,-0.34,-8.57,-11.2
860,-0.74,-8.37,-11.14
870,-0.94,-7.88,-12.15
880,-0.89,-7.54,-13.24
890,-0.41,-7.77,-13.82
900,0.37,-8.17,-13.45
910,1.24,-8.95,-12.03
920,1.94,-9.73,-10.03
930,2.24,-10.39,-8.43
940,2.72,-10.19,-8.33
950,3.77,-9.97,-10.27
960,4.88,-9.99,-12.75
970,5.78,-10.11,-14.59
980,6.51,-10.61,-15.55
990,7.04,-11.41,-15.52
1000,7.09,-12.27,-14.1
