timestamp,x,y,z
0,3.05,5.27,-9.1
10,3.63,5.28,-9.07
20,4.27,5.2,-9.13
30,4.86,5.1,-9.18
40,5.48,5.02,-9.19
50,6.05,4.77,-9.16
60,6.73,4.26,-9.31
70,7.82,3.74,-9.57
80,9.51,3.32,-9.84
90,11.52,3.22,-9.89
100,12.59,3.16,-9.57
110,12.24,2.85,-8.85
120,10.79,2.49,-7.82
130,8.85,2.04,-6.9
140,7.42,1.57,-6.28
150,6.96,1.55,-5.92
160,7.78,1.47,-5.97
170,9.18,1.42,-5.78
180,9.64,1.34,-5.0
190,8.83,0.85,-3.71
200,7.12,0.46,-2.2
210,4.86,0.18,-0.99
220,2.32,0.01,-0.3
230,-0.48,0.09,-0.14
240,-3.29,0.32,-0.38
250,-5.72,0.66,-0.84
260,-7.64,0.96,-1.41
270,-8.81,1.1,-1.73
280,-9.02,1.02,-1.79
290,-8.56,0.93,-2.07
300,-7.68,1.13,-3.21
310,-6.48,1.36,-5.56
320,-5.29,1.32,-8.42
330,-4.28,1.27,-10.16
340,-3.67,1.12,-10.57
350,-4.05,0.78,-10.15
360,-5.24,-0.02,-9.29
370,-6.3,-0.53,-8.65
380,-7.47,-1.0,-9.01
390,-8.13,-1.22,-10.2
400,-8.56,-1.44,-11.68
410,-8.57,-1.91,-12.57
420,-7.92,-2.75,-12.28
430,-6.62,-4.0,-11.16
440,-4.35,-5.08,-9.88
450,-1.82,-5.55,-9.25
460,0.45,-5.35,-9.96
470,1.25,-4.88,-11.31
480,-0.23,-4.81,-12.11
490,-2.86,-5.56,-12.15
500,-4.78,-6.54,-12.34
510,-4.76,-7.38,-13.45
520,-3.21,-7.68,-15.18
530,-1.51,-7.67,-16.72
540,-0.32,-7.61,-17.34
550,0.03,-7.71,-16.78
560,-0.6,-8.07,-15.27
570,-2.09,-8.67,-13.52
580,-3.34,-9.37,-12.37
590,-3.31,-10.15,-12.27
600,-1.94,-10.97,-13.02
610,0.33,-11.77,-14.0
620,2.94,-12.27,-14.68
630,5.25,-12.44,-14.97
640,6.78,-12.1,-14.82
650,6.96,-11.33,-14.34
660,5.85,-10.98,-14.24
670,4.08,-11.03,-14.54
680,2.42,-11.19,-14.82
690,1.89,-11.37,-14.83
700,2.73,-12.0,-14.39
710,4.49,-12.34,-13.5
720,6.46,-12.42,-12.15
730,7.75,-12.11,-10.29
740,8.68,-11.5,-8.05
750,9.37,-10.58,-5.87
760,10.04,-9.37,-4.86
770,10.86,-8.32,-5.09
780,12.34,-7.23,-6.44
790,14.11,-6.32,-8.41
800,15.55,-5.52,-10.23
810,15.32,-5.08,-10.87
820,13.18,-4.92,-10.07
830,10.24,-4.62,-8.54
840,7.63,-4.34,-6.75
850,5.84,-3.73,-4.94
860,4.93,-3.04,-3.36
870,5.32,-2.09,-2.13
880,6.99,-1.02,-1.52
890,9.51,-0.06,-1.67
900,11.65,0.68,-2.05
910,12.11,1.02,-2.44
920,10.99,1.29,-2.99
930,8.9,1.49,-3.88
940,6.84,1.7,-5.0
950,5.72,2.09,-5.93
960,5.56,2.43,-6.08
970,5.49,2.66,-5.4
980,5.11,2.75,-3.98
990,4.32,2.87,-2.26
1000,3.28,2.78,-1.15
