timestamp,x,y,z
0,4.58,2.7,-8.94
10,5.19,2.48,-8.31
20,6.06,2.24,-7.81
30,6.98,1.91,-7.41
40,7.96,1.67,-6.96
50,8.64,1.56,-6.68
60,9.27,1.27,-6.51
70,9.7,1.07,-6.44
80,10.01,0.84,-6.49
90,10.15,0.71,-6.64
100,9.87,0.48,-6.84
110,9.42,0.35,-6.69
120,8.44,0.48,-6.28
130,7.01,0.42,-5.76
140,5.57,0.24,-5.26
150,4.78,0.41,-5.22
160,4.58,0.7,-5.81
170,4.71,0.99,-6.55
180,4.6,0.99,-6.75
190,3.91,0.69,-6.06
200,2.82,0.34,-5.32
210,1.24,-0.33,-4.61
220,-0.58,-0.72,-4.12
230,-2.64,-1.18,-4.28
240,-4.75,-1.25,-5.32
250,-6.49,-0.84,-7.12
260,-7.45,-0.48,-8.98
270,-7.61,-0.21,-10.11
280,-7.1,0.0,-10.32
290,-6.24,-0.2,-10.0
300,-5.04,-0.67,-9.31
310,-3.96,-1.11,-8.52
320,-3.45,-1.56,-8.17
330,-3.53,-1.68,-8.63
340,-3.79,-1.64,-9.87
350,-4.09,-1.44,-10.84
360,-4.28,-1.3,-10.81
370,-4.68,-1.4,-9.83
380,-5.4,-1.96,-8.52
390,-6.18,-2.72,-7.92
400,-7.02,-3.32,-8.84
410,-7.57,-3.34,-10.96
420,-7.06,-3.13,-13.25
430,-5.45,-3.04,-14.61
440,-3.58,-3.26,-14.27
450,-2.61,-3.99,-12.62
460,-2.54,-4.93,-10.81
470,-2.66,-5.69,-10.16
480,-2.51,-5.88,-10.83
490,-2.38,-5.65,-12.04
500,-2.36,-5.35,-13.0
510,-2.33,-5.31,-13.37
520,-2.3,-5.45,-13.18
530,-2.68,-5.91,-12.23
540,-3.17,-6.51,-11.05
550,-3.08,-7.01,-10.79
560,-2.17,-7.06,-11.73
570,-0.98,-6.9,-13.05
580,-0.02,-6.67,-13.96
590,0.42,-6.57,-14.15
600,0.57,-6.95,-13.65
610,0.67,-7.06,-12.66
620,0.58,-7.12,-11.87
630,0.48,-7.41,-11.34
640,0.76,-7.38,-10.81
650,1.63,-7.23,-10.82
660,2.49,-7.11,-11.44
670,2.87,-6.91,-12.26
680,2.71,-6.85,-12.86
690,2.46,-6.96,-13.22
700,2.39,-7.18,-13.25
710,2.93,-7.38,-12.81
720,3.79,-7.64,-12.09
730,4.81,-7.78,-11.51
740,6.05,-7.81,-11.27
750,7.33,-7.68,-11.36
760,8.22,-7.41,-11.76
770,8.83,-7.19,-12.3
780,9.1,-6.97,-12.56
790,8.85,-6.83,-12.24
800,8.35,-6.71,-11.12
810,8.13,-6.47,-9.62
820,8.16,-6.32,-8.62
830,8.66,-5.98,-8.63
840,9.53,-5.49,-9.52
850,10.16,-5.04,-10.68
860,10.18,-4.56,-11.24
870,9.57,-4.13,-10.85
880,8.53,-3.98,-9.84
890,7.56,-3.92,-8.63
900,6.94,-3.55,-7.46
910,6.75,-3.17,-6.66
920,6.95,-2.72,-6.28
930,7.39,-2.31,-6.52
940,7.9,-1.91,-7.32
950,7.98,-1.52,-8.22
960,7.38,-1.25,-8.76
970,6.3,-1.07,-8.9
980,5.09,-0.82,-8.73
990,4.16,-0.57,-8.33
1000,3.71,-0.36,-7.77
