timestamp,x,y,z
0,1.65,5.85,-7.12
10,1.54,5.88,-7.41
20,1.31,5.82,-7.75
30,1.23,5.73,-8.12
40,1.2,5.59,-8.51
50,1.11,5.46,-8.84
60,1.16,5.42,-9.15
70,1.37,5.49,-9.41
80,1.64,5.44,-9.63
90,2.09,5.28,-9.64
100,2.54,5.16,-9.29
110,2.64,4.99,-8.7
120,2.56,4.73,-7.98
130,2.32,4.53,-7.42
140,1.88,4.44,-7.06
150,1.45,4.4,-6.9
160,1.25,4.28,-6.9
170,1.14,4.13,-6.81
180,0.99,3.85,-6.34
190,0.58,3.5,-5.48
200,-0.09,3.1,-4.37
210,-0.64,3.0,-3.17
220,-0.92,2.91,-2.17
230,-1.07,2.4,-1.36
240,-1.5,1.99,-0.66
250,-1.99,1.66,-0.05
260,-2.45,1.12,0.21
270,-2.94,0.44,0.23
280,-3.23,-0.11,0.05
290,-3.32,-0.6,-0.49
300,-3.29,-1.07,-1.45
310,-3.15,-1.38,-2.5
320,-2.59,-2.07,-3.8
330,-1.27,-2.38,-5.5
340,0.35,-2.59,-7.24
350,1.23,-3.93,-8.77
360,0.84,-4.28,-9.96
370,0.5,-5.36,-10.8
380,1.24,-6.44,-12.13
390,2.4,-6.39,-13.38
400,3.18,-6.24,-15.04
410,3.8,-6.01,-16.69
420,4.0,-6.43,-17.37
430,3.53,-7.19,-17.14
440,2.49,-7.66,-16.61
450,1.68,-8.09,-16.22
460,1.75,-8.31,-16.24
470,2.32,-8.3,-16.2
480,2.53,-8.14,-15.8
490,2.54,-8.2,-15.13
500,2.55,-8.34,-14.19
510,2.56,-8.6,-13.4
520,2.69,-8.72,-13.03
530,2.86,-8.49,-13.3
540,2.87,-8.12,-13.86
550,2.57,-7.98,-14.44
560,2.04,-7.94,-14.74
570,1.53,-7.95,-14.6
580,1.2,-8.0,-14.33
590,0.95,-7.9,-14.29
600,0.45,-7.88,-14.34
610,-0.07,-7.85,-14.45
620,-0.41,-7.92,-14.67
630,-0.5,-7.89,-14.83
640,-0.35,-7.81,-14.97
650,-0.09,-8.04,-15.1
660,0.09,-8.03,-14.88
670,0.46,-7.96,-14.47
680,0.85,-8.07,-14.1
690,1.12,-8.06,-13.88
700,1.26,-8.0,-14.01
710,1.57,-7.87,-14.68
720,2.13,-7.69,-15.92
730,2.59,-7.63,-17.33
740,2.46,-7.66,-18.16
750,1.64,-7.66,-17.95
760,0.95,-8.01,-16.71
770,1.29,-8.12,-14.58
780,2.48,-7.76,-12.69
790,3.6,-7.23,-11.98
800,4.3,-6.6,-12.19
810,4.37,-6.07,-12.66
820,4.17,-5.66,-12.93
830,3.7,-5.47,-12.86
840,2.84,-5.48,-12.22
850,2.0,-5.34,-11.02
860,1.79,-5.05,-9.72
870,2.38,-4.34,-8.72
880,3.12,-3.58,-7.79
890,3.36,-2.95,-6.96
900,2.94,-2.49,-5.81
910,1.69,-2.03,-4.21
920,0.17,-1.55,-2.24
930,-0.85,-1.18,-0.41
940,-0.46,-0.49,0.72
950,1.07,0.17,1.11
960,3.22,1.21,1.05
970,4.92,2.15,0.27
980,5.42,2.86,-0.4
990,4.3,3.42,-0.33
1000,2.03,3.56,0.54
