timestamp,x,y,z
0,-2.27,2.43,-9.18
10,-3.82,2.6,-8.66
20,-5.52,2.77,-7.85
30,-7.45,3.09,-6.78
40,-9.55,3.45,-5.66
50,-11.43,3.14,-4.96
60,-12.66,2.24,-5.46
70,-13.94,1.16,-7.22
80,-15.34,-0.07,-9.87
90,-16.3,-1.32,-12.78
100,-16.55,-2.3,-14.98
110,-15.37,-2.91,-15.69
120,-12.98,-3.3,-14.53
130,-10.28,-3.72,-12.16
140,-7.98,-3.84,-9.96
150,-6.41,-3.86,-8.76
160,-4.81,-3.8,-8.67
170,-2.91,-3.76,-9.28
180,-0.79,-3.67,-9.75
190,1.38,-3.57,-9.5
200,3.27,-3.27,-8.52
210,4.36,-2.91,-7.38
220,4.99,-2.82,-6.79
230,5.26,-2.66,-7.45
240,5.09,-2.22,-8.99
250,4.92,-1.81,-10.49
260,5.37,-1.5,-11.47
270,6.28,-1.21,-11.77
280,7.15,-0.93,-11.54
290,7.82,-0.66,-10.91
300,8.43,-0.43,-10.22
310,8.87,0.06,-9.89
320,8.79,0.57,-9.64
330,8.17,0.91,-9.58
340,7.52,1.11,-9.94
350,7.13,1.29,-10.55
360,6.69,1.35,-11.06
370,6.08,1.33,-11.26
380,5.68,1.25,-11.14
390,5.85,1.32,-11.01
400,6.28,1.6,-10.83
410,6.62,1.82,-10.49
420,6.88,1.93,-9.97
430,7.11,1.88,-9.31
440,7.02,1.79,-8.78
450,6.45,1.67,-8.53
460,5.64,1.47,-8.68
470,5.18,1.22,-9.23
480,5.35,1.14,-9.6
490,5.75,0.98,-9.28
500,6.07,0.81,-8.36
510,6.4,0.69,-7.64
520,6.92,0.35,-7.38
530,7.54,0.13,-7.16
540,7.76,-0.15,-6.74
550,7.94,-0.68,-6.37
560,8.39,-1.14,-6.24
570,9.11,-1.41,-6.29
580,9.69,-1.81,-6.11
590,9.66,-2.07,-5.63
600,9.03,-2.3,-4.99
610,8.12,-2.6,-5.09
620,7.48,-2.49,-6.09
630,7.13,-2.43,-7.3
640,6.99,-2.52,-8.02
650,7.07,-2.92,-7.69
660,7.1,-3.56,-6.87
670,6.25,-4.08,-7.08
680,3.68,-4.17,-7.78
690,0.27,-4.19,-8.35
700,-2.08,-3.99,-9.3
710,-3.02,-3.76,-10.61
720,-3.0,-3.47,-11.58
730,-3.51,-3.54,-11.56
740,-4.94,-3.5,-11.24
750,-7.05,-3.56,-10.95
760,-9.62,-3.99,-11.29
770,-12.35,-4.13,-12.97
780,-14.6,-3.66,-15.5
790,-15.7,-3.06,-17.47
800,-15.31,-2.16,-17.87
810,-13.39,-1.92,-16.2
820,-10.61,-2.23,-13.36
830,-8.44,-2.62,-11.07
840,-8.08,-3.07,-9.83
850,-9.86,-3.49,-10.21
860,-11.68,-3.65,-11.71
870,-12.19,-3.5,-13.35
880,-11.74,-3.08,-13.88
890,-11.21,-3.06,-12.78
900,-11.11,-3.12,-11.37
910,-11.27,-3.13,-10.62
920,-11.46,-3.01,-10.33
930,-11.64,-2.94,-10.24
940,-11.39,-2.95,-9.99
950,-10.85,-2.95,-9.56
960,-10.57,-3.02,-8.95
970,-10.68,-3.15,-8.3
980,-10.83,-3.45,-7.71
990,-10.94,-3.82,-7.42
1000,-11.15,-4.08,-7.49
