timestamp,x,y,z
0,-1.05,2.22,-10.67
10,-1.32,2.21,-11.04
20,-2.24,2.26,-11.09
30,-3.92,2.48,-10.63
40,-6.41,2.43,-10.23
50,-9.56,2.29,-9.67
60,-12.93,2.22,-9.17
70,-14.8,2.46,-8.56
80,-14.9,1.43,-8.22
90,-14.23,1.58,-8.18
100,-13.18,1.33,-8.93
110,-12.61,0.61,-10.08
120,-12.12,-0.3,-11.02
130,-11.99,-1.26,-11.53
140,-11.3,-1.98,-11.58
150,-9.15,-2.44,-11.28
160,-5.94,-2.69,-10.54
170,-2.74,-2.76,-9.6
180,-0.31,-2.49,-8.66
190,1.4,-2.33,-7.84
200,2.22,-2.32,-7.41
210,2.41,-2.19,-7.57
220,2.49,-2.15,-8.35
230,2.79,-2.02,-9.25
240,3.52,-1.9,-9.67
250,4.35,-1.84,-9.56
260,5.2,-1.73,-9.24
270,6.08,-1.48,-8.85
280,7.06,-1.27,-8.6
290,8.03,-1.09,-8.49
300,8.54,-0.88,-8.52
310,8.52,-0.67,-8.83
320,8.22,-0.55,-9.49
330,8.08,-0.43,-10.31
340,7.91,-0.22,-11.2
350,7.69,-0.02,-11.78
360,7.48,0.18,-11.91
370,7.58,0.24,-11.43
380,7.96,0.27,-10.72
390,8.52,0.23,-10.1
400,9.17,0.21,-9.79
410,9.55,0.16,-9.81
420,9.55,0.08,-9.84
430,9.22,0.1,-9.6
440,9.05,0.21,-9.5
450,9.22,0.25,-9.66
460,9.42,0.22,-9.67
470,9.37,-0.02,-9.45
480,9.03,-0.33,-9.1
490,8.6,-0.53,-9.12
500,8.23,-0.68,-9.65
510,7.78,-0.9,-10.27
520,7.36,-0.87,-10.49
530,7.34,-0.93,-10.22
540,7.84,-1.3,-9.55
550,8.24,-1.57,-8.56
560,8.32,-2.41,-7.29
570,8.24,-2.82,-6.31
580,8.32,-3.14,-5.78
590,8.55,-3.5,-5.68
600,8.6,-3.68,-5.81
610,7.96,-3.83,-6.41
620,7.23,-3.87,-7.05
630,7.12,-4.18,-7.51
640,7.17,-4.55,-7.38
650,7.06,-5.08,-6.07
660,6.69,-5.41,-4.91
670,5.68,-5.55,-4.72
680,3.24,-5.36,-6.22
690,0.33,-5.01,-8.38
700,-2.22,-4.49,-10.3
710,-4.18,-3.91,-11.46
720,-4.86,-3.31,-11.72
730,-4.84,-2.86,-11.44
740,-4.66,-2.54,-11.23
750,-5.69,-2.43,-11.47
760,-8.19,-2.49,-12.14
770,-11.2,-2.36,-13.07
780,-13.58,-2.3,-14.14
790,-14.98,-2.21,-15.12
800,-15.6,-2.03,-15.61
810,-15.29,-1.98,-15.5
820,-13.89,-2.05,-14.74
830,-11.97,-2.23,-13.63
840,-10.39,-2.46,-12.88
850,-10.03,-2.59,-12.79
860,-10.33,-2.53,-12.85
870,-10.44,-2.39,-12.65
880,-9.99,-2.29,-11.89
890,-9.15,-2.24,-10.84
900,-8.32,-2.24,-9.78
910,-7.97,-2.29,-9.32
920,-8.32,-2.3,-9.66
930,-8.9,-2.29,-10.55
940,-9.37,-2.24,-11.38
950,-9.47,-2.12,-11.59
960,-9.15,-2.03,-11.04
970,-8.55,-1.91,-10.11
980,-7.93,-1.82,-9.1
990,-7.54,-1.78,-8.18
1000,-7.37,-1.86,-7.63
