timestamp,x,y,z
0,-7.77,0.09,-10.52
10,-9.57,-0.28,-11.17
20,-11.39,-0.79,-11.97
30,-12.8,-1.06,-13.17
40,-13.55,-1.09,-14.63
50,-13.81,-0.98,-15.91
60,-13.63,-0.77,-16.35
70,-12.3,-1.15,-15.67
80,-9.17,-1.67,-13.83
90,-5.19,-1.97,-10.98
100,-1.79,-2.06,-7.6
110,0.92,-2.1,-4.79
120,3.28,-2.07,-3.6
130,5.14,-1.77,-4.53
140,6.64,-1.5,-6.52
150,7.79,-1.27,-7.76
160,8.34,-1.01,-7.78
170,8.31,-0.81,-7.35
180,8.54,-0.51,-7.0
190,9.09,-0.14,-6.96
200,9.62,0.2,-7.55
210,9.84,0.58,-8.55
220,9.67,0.9,-9.67
230,9.37,1.19,-10.62
240,9.33,1.32,-10.88
250,9.67,1.28,-10.35
260,10.42,1.22,-9.67
270,11.47,1.36,-9.01
280,12.4,1.55,-8.22
290,12.79,1.84,-7.38
300,12.28,1.96,-6.45
310,11.23,2.01,-6.3
320,10.48,2.32,-7.4
330,9.97,2.67,-8.69
340,9.33,2.81,-8.93
350,8.88,2.79,-8.09
360,9.05,2.73,-6.92
370,9.33,2.51,-6.07
380,9.92,2.24,-5.57
390,10.56,1.99,-4.94
400,10.87,1.6,-4.43
410,11.25,1.18,-4.25
420,11.29,1.04,-4.29
430,10.92,0.73,-4.3
440,10.72,0.32,-4.47
450,11.02,0.12,-4.6
460,11.19,-0.4,-4.17
470,11.09,-0.81,-3.34
480,11.19,-1.17,-3.01
490,10.75,-1.36,-3.39
500,8.8,-1.33,-3.39
510,6.29,-1.81,-2.6
520,4.99,-2.35,-3.29
530,4.83,-2.61,-6.0
540,4.13,-2.63,-9.42
550,2.68,-2.59,-11.94
560,0.67,-2.76,-13.11
570,-2.56,-2.81,-12.88
580,-6.14,-2.91,-12.55
590,-8.6,-2.47,-13.33
600,-9.29,-1.72,-14.48
610,-8.99,-1.42,-15.15
620,-9.15,-1.35,-15.36
630,-9.75,-1.54,-15.25
640,-10.36,-1.61,-14.92
650,-10.63,-1.47,-14.64
660,-10.28,-1.43,-14.3
670,-9.53,-1.36,-13.81
680,-8.87,-1.24,-12.95
690,-8.48,-1.3,-11.71
700,-8.21,-1.48,-11.08
710,-7.37,-1.54,-11.23
720,-6.47,-1.41,-11.48
730,-6.37,-1.39,-11.35
740,-6.64,-1.41,-10.86
750,-6.56,-1.37,-10.49
760,-6.0,-1.39,-10.25
770,-5.58,-1.56,-10.16
780,-6.05,-1.79,-10.56
790,-6.81,-1.77,-11.35
800,-7.0,-1.7,-11.65
810,-6.77,-1.75,-11.17
820,-6.46,-1.8,-10.52
830,-6.15,-1.85,-9.96
840,-5.89,-2.07,-9.79
850,-5.72,-2.29,-10.03
860,-5.77,-2.33,-10.57
870,-6.17,-2.28,-10.65
880,-6.44,-2.41,-9.96
890,-6.23,-2.46,-9.26
900,-5.64,-2.41,-8.85
910,-5.1,-2.44,-8.13
920,-5.07,-2.65,-7.42
930,-5.61,-2.79,-7.68
940,-6.06,-2.79,-8.84
950,-6.23,-2.77,-9.64
960,-6.33,-2.96,-9.75
970,-6.28,-3.33,-9.49
980,-5.87,-3.62,-9.33
990,-5.18,-3.79,-9.43
1000,-4.64,-3.88,-9.6
