timestamp,x,y,z
0,-3.25,2.77,-9.19
10,-4.67,2.72,-8.76
20,-6.86,2.72,-7.99
30,-9.54,2.55,-7.59
40,-11.86,2.27,-7.52
50,-13.71,1.75,-7.73
60,-14.53,1.1,-8.36
70,-13.79,0.39,-9.52
80,-11.83,0.15,-10.71
90,-9.35,-0.08,-11.43
100,-7.3,-0.13,-11.6
110,-5.74,-0.62,-11.13
120,-4.58,-1.07,-10.31
130,-3.44,-1.49,-9.65
140,-2.06,-1.58,-9.64
150,0.11,-1.53,-10.18
160,2.89,-1.29,-10.44
170,5.0,-0.9,-10.08
180,6.38,-0.55,-9.56
190,7.07,-0.24,-9.12
200,7.17,0.22,-8.95
210,6.9,0.71,-9.19
220,6.5,1.27,-9.63
230,6.09,1.65,-10.19
240,5.91,1.96,-10.71
250,5.91,2.28,-10.83
260,5.98,2.48,-10.56
270,6.0,2.7,-10.23
280,6.11,2.85,-10.08
290,6.32,3.05,-10.0
300,6.52,3.31,-9.82
310,6.71,3.5,-9.68
320,6.9,3.68,-9.53
330,6.9,3.88,-9.34
340,6.55,3.91,-9.07
350,6.16,3.86,-8.68
360,5.86,3.73,-8.25
370,5.92,3.61,-7.99
380,6.4,3.6,-8.03
390,6.86,3.55,-8.21
400,6.97,3.4,-8.37
410,7.02,3.05,-8.32
420,7.1,2.89,-8.18
430,7.08,2.73,-7.89
440,7.02,2.5,-7.49
450,6.9,2.37,-6.8
460,6.68,2.16,-6.02
470,6.68,1.84,-5.75
480,6.87,1.72,-6.14
490,7.04,1.66,-6.62
500,6.98,1.56,-6.7
510,6.68,1.31,-6.38
520,6.23,0.95,-6.21
530,5.65,0.67,-6.7
540,4.62,0.51,-7.67
550,2.92,0.5,-8.34
560,1.11,0.54,-8.71
570,-0.27,0.5,-8.7
580,-1.17,0.67,-9.16
590,-1.33,0.93,-9.69
600,-1.22,0.87,-9.82
610,-1.67,0.65,-9.94
620,-2.66,0.41,-10.48
630,-3.53,0.19,-10.91
640,-3.98,-0.04,-11.19
650,-4.48,-0.26,-11.55
660,-4.77,-0.34,-11.89
670,-4.84,-0.33,-12.16
680,-4.83,-0.33,-12.1
690,-5.28,-0.44,-11.54
700,-6.01,-0.66,-11.11
710,-6.44,-0.79,-11.17
720,-6.61,-0.8,-11.45
730,-6.71,-0.84,-11.94
740,-6.69,-0.89,-12.33
750,-6.45,-0.85,-12.27
760,-6.33,-0.85,-11.59
770,-6.52,-1.11,-10.76
780,-6.73,-1.39,-10.27
790,-6.84,-1.62,-10.21
800,-7.2,-1.72,-10.66
810,-7.68,-1.79,-11.11
820,-7.88,-1.65,-11.54
830,-7.98,-1.73,-11.31
840,-8.03,-1.93,-10.45
850,-7.81,-2.26,-9.72
860,-7.54,-2.43,-9.52
870,-7.41,-2.43,-9.73
880,-7.59,-2.38,-9.92
890,-7.84,-2.33,-9.84
900,-8.06,-2.38,-9.56
910,-7.97,-2.55,-9.23
920,-7.2,-2.71,-9.09
930,-6.24,-2.79,-8.9
940,-5.76,-2.99,-8.7
950,-5.51,-3.06,-8.43
960,-5.55,-3.19,-8.1
970,-5.57,-3.18,-7.91
980,-5.63,-3.07,-7.93
990,-5.78,-3.06,-8.23
1000,-5.73,-3.16,-8.78
