timestamp,x,y,z
0,1.77,4.3,-9.03
10,2.38,4.22,-8.82
20,2.92,4.12,-8.69
30,3.12,4.09,-8.58
40,2.86,4.05,-8.54
50,2.11,4.02,-8.67
60,1.24,3.98,-9.06
70,0.71,4.01,-9.46
80,0.66,4.01,-9.75
90,1.02,3.91,-9.85
100,1.64,3.83,-9.74
110,2.3,3.76,-9.51
120,2.55,3.69,-9.42
130,2.52,3.74,-9.44
140,2.2,3.85,-9.52
150,1.77,3.96,-9.57
160,1.34,3.97,-9.54
170,0.98,3.98,-9.49
180,0.67,4.07,-9.48
190,0.44,4.16,-9.48
200,0.41,4.11,-9.46
210,0.29,4.16,-9.35
220,0.06,4.16,-9.17
230,-0.01,4.12,-8.89
240,0.22,4.07,-8.56
250,0.58,3.97,-8.21
260,0.97,3.83,-7.89
270,0.8,3.79,-7.67
280,0.27,3.72,-7.63
290,-0.57,3.63,-7.69
300,-1.42,3.57,-7.73
310,-2.15,3.49,-7.65
320,-2.49,3.42,-7.35
330,-2.37,3.27,-6.89
340,-2.1,3.13,-6.25
350,-1.97,3.1,-5.44
360,-2.08,3.06,-4.68
370,-2.47,2.98,-3.96
380,-2.99,2.77,-3.25
390,-3.39,2.46,-2.57
400,-3.73,2.16,-1.99
410,-3.98,1.8,-1.4
420,-3.85,1.32,-1.2
430,-3.43,1.16,-1.39
440,-3.08,1.33,-1.9
450,-2.67,1.15,-2.48
460,-2.43,0.48,-2.5
470,-2.75,0.23,-2.03
480,-2.83,-0.07,-1.08
490,-2.09,-0.95,-0.4
500,-0.54,-1.98,-0.19
510,1.05,-2.96,-0.49
520,2.23,-3.92,-1.35
530,2.75,-4.89,-2.5
540,2.03,-5.65,-4.01
550,0.51,-6.18,-5.84
560,-0.61,-6.47,-8.39
570,-1.03,-6.28,-10.85
580,-1.08,-6.83,-12.36
590,-1.72,-7.1,-13.09
600,-2.1,-7.93,-12.9
610,-1.37,-8.64,-12.48
620,-0.19,-9.14,-12.65
630,0.57,-9.49,-13.66
640,1.14,-10.07,-15.21
650,1.65,-10.46,-16.59
660,1.88,-10.58,-17.38
670,1.76,-10.81,-17.6
680,1.36,-10.84,-17.54
690,0.64,-10.74,-17.59
700,0.07,-10.77,-17.72
710,-0.24,-10.86,-17.76
720,-0.4,-10.98,-17.76
730,-0.23,-11.09,-17.83
740,0.09,-11.2,-17.9
750,0.24,-11.04,-17.8
760,0.25,-10.75,-17.68
770,0.24,-10.47,-17.47
780,0.19,-10.21,-16.52
790,0.02,-10.05,-15.32
800,0.01,-9.99,-14.03
810,0.07,-9.96,-13.19
820,-0.06,-9.97,-13.05
830,-0.39,-9.81,-13.63
840,-0.68,-9.51,-14.72
850,-0.83,-9.36,-15.79
860,-0.78,-9.24,-16.38
870,-0.86,-9.15,-16.21
880,-0.95,-9.3,-15.64
890,-1.07,-9.23,-15.31
900,-1.31,-9.05,-15.62
910,-1.34,-8.94,-16.25
920,-0.9,-8.76,-16.79
930,-0.2,-8.67,-17.1
940,0.89,-8.9,-17.39
950,2.07,-9.27,-17.73
960,2.55,-9.6,-17.78
970,2.27,-9.76,-17.26
980,1.57,-9.86,-15.96
990,0.89,-9.94,-14.12
1000,0.66,-9.75,-12.24
