timestamp,x,y,z
0,0.91,3.45,-9.76
10,1.33,3.39,-9.75
20,1.62,3.36,-9.71
30,1.75,3.31,-9.67
40,1.75,3.34,-9.66
50,1.56,3.44,-9.74
60,1.23,3.43,-9.91
70,1.05,3.43,-9.91
80,1.11,3.48,-9.78
90,1.15,3.48,-9.56
100,1.01,3.45,-9.43
110,0.71,3.42,-9.42
120,0.63,3.39,-9.43
130,0.81,3.42,-9.4
140,0.85,3.46,-9.33
150,0.81,3.48,-9.33
160,0.82,3.53,-9.34
170,0.8,3.62,-9.25
180,0.69,3.64,-9.01
190,0.58,3.62,-8.73
200,0.58,3.55,-8.37
210,0.63,3.46,-7.98
220,0.74,3.34,-7.58
230,1.0,3.24,-7.19
240,1.18,3.22,-6.75
250,1.07,3.17,-6.34
260,0.85,3.06,-5.92
270,0.69,2.84,-5.52
280,0.45,2.58,-5.12
290,-0.03,2.34,-4.71
300,-0.69,2.22,-4.37
310,-1.46,2.14,-3.96
320,-2.24,2.11,-3.38
330,-2.83,2.06,-2.69
340,-3.11,2.15,-1.88
350,-3.05,2.09,-1.18
360,-2.54,1.4,-0.91
370,-1.71,0.74,-0.92
380,-1.13,0.39,-1.13
390,-0.91,-0.06,-1.89
400,-1.16,-0.57,-3.45
410,-1.72,-0.64,-5.64
420,-2.28,-0.47,-7.5
430,-2.49,0.33,-8.76
440,-2.13,-1.0,-9.13
450,-2.51,-0.88,-9.15
460,-2.36,-1.39,-8.57
470,-2.11,-2.2,-7.41
480,-1.51,-3.06,-6.44
490,-0.45,-3.8,-6.39
500,0.55,-3.98,-7.11
510,0.82,-3.99,-8.61
520,0.36,-4.2,-10.33
530,-0.44,-4.5,-11.38
540,-1.15,-5.15,-11.49
550,-1.35,-5.71,-11.51
560,-0.87,-6.28,-12.2
570,-0.17,-6.81,-13.58
580,0.27,-6.75,-15.19
590,0.23,-6.74,-16.56
600,0.04,-6.96,-17.29
610,-0.15,-7.26,-17.38
620,-0.37,-7.41,-17.12
630,-0.62,-7.54,-16.88
640,-0.78,-7.4,-16.56
650,-0.83,-7.35,-16.36
660,-0.71,-7.31,-16.38
670,-0.6,-7.23,-16.26
680,-0.55,-7.3,-15.84
690,-0.58,-7.33,-15.44
700,-0.88,-7.26,-15.21
710,-1.57,-7.09,-15.1
720,-2.34,-6.92,-14.94
730,-2.83,-6.81,-14.76
740,-3.03,-6.75,-14.74
750,-3.03,-6.73,-14.63
760,-2.72,-6.68,-14.32
770,-2.21,-6.66,-14.07
780,-1.64,-6.62,-13.95
790,-1.24,-6.59,-13.94
800,-1.1,-6.56,-13.82
810,-1.41,-6.66,-13.83
820,-1.93,-6.78,-14.23
830,-2.45,-6.67,-14.81
840,-2.72,-6.74,-15.12
850,-2.51,-6.89,-15.4
860,-1.94,-6.88,-15.91
870,-1.27,-6.88,-16.43
880,-0.59,-6.92,-16.98
890,0.17,-6.94,-17.37
900,0.78,-7.11,-17.4
910,1.16,-7.38,-17.03
920,1.18,-7.48,-16.41
930,1.05,-7.58,-15.54
940,1.17,-7.34,-14.23
950,1.26,-7.04,-12.72
960,1.43,-6.66,-11.4
970,1.85,-6.05,-10.49
980,2.62,-5.59,-10.0
990,3.79,-4.88,-9.67
1000,4.23,-4.19,-9.1
