timestamp,x,y,z
0,1.42,2.22,-15.88
10,1.89,2.07,-16.59
20,2.57,2.1,-17.49
30,3.25,2.18,-18.22
40,3.81,2.07,-18.26
50,4.41,1.98,-17.06
60,5.04,1.86,-15.21
70,5.64,1.74,-13.22
80,5.88,1.64,-11.48
90,5.64,1.63,-10.08
100,4.92,1.58,-9.11
110,3.79,1.66,-8.51
120,2.62,1.82,-8.26
130,1.72,2.15,-8.19
140,1.01,2.48,-8.24
150,0.49,2.72,-8.27
160,0.01,3.14,-8.09
170,-0.8,3.06,-7.77
180,-1.92,3.18,-7.31
190,-2.81,3.32,-6.87
200,-3.25,3.43,-6.45
210,-3.1,3.44,-5.93
220,-2.42,3.44,-5.32
230,-1.27,3.38,-4.63
240,-0.1,3.33,-3.81
250,0.5,3.25,-2.8
260,0.25,3.09,-1.78
270,-0.61,2.81,-0.88
280,-1.69,2.49,-0.28
290,-2.41,2.18,0.07
300,-2.93,2.04,0.2
310,-3.54,1.93,0.4
320,-4.4,1.78,0.71
330,-5.29,1.45,0.92
340,-5.9,1.09,0.96
350,-6.34,0.97,1.25
360,-6.94,0.31,2.67
370,-7.63,-0.46,4.92
380,-7.81,-1.56,7.15
390,-7.8,-2.79,8.94
400,-7.54,-4.07,10.13
410,-6.35,-5.65,10.31
420,-4.65,-7.24,8.93
430,-2.92,-8.6,6.47
440,-1.49,-10.17,3.68
450,-0.63,-11.6,1.21
460,-0.38,-12.83,-2.07
470,-0.44,-14.8,-6.2
480,-1.28,-15.54,-11.79
490,-2.38,-15.46,-20.8
500,-4.2,-13.61,-27.7
510,-5.19,-11.79,-30.85
520,-5.22,-11.17,-29.4
530,-4.4,-11.13,-24.13
540,-2.95,-11.37,-17.63
550,-1.84,-11.71,-13.44
560,-0.66,-11.84,-11.59
570,0.44,-12.2,-11.95
580,1.68,-12.61,-13.73
590,2.75,-12.52,-15.8
600,3.12,-12.12,-17.49
610,2.56,-11.64,-18.07
620,1.45,-11.41,-17.66
630,0.66,-11.25,-16.81
640,0.08,-11.01,-15.8
650,-0.27,-10.77,-14.93
660,-0.68,-10.64,-14.42
670,-1.1,-10.47,-14.14
680,-1.38,-10.34,-13.99
690,-1.46,-10.2,-14.14
700,-1.7,-10.05,-14.23
710,-1.9,-10.07,-14.29
720,-1.58,-10.06,-14.42
730,-1.04,-9.86,-14.38
740,-0.43,-9.61,-14.16
750,0.04,-9.31,-13.91
760,0.03,-9.17,-13.75
770,-0.27,-9.03,-14.14
780,-0.71,-8.86,-15.21
790,-1.33,-8.83,-16.3
800,-1.93,-9.26,-17.04
810,-2.43,-9.66,-17.51
820,-3.11,-9.79,-17.85
830,-3.57,-9.73,-18.65
840,-3.77,-9.56,-19.65
850,-3.15,-9.7,-20.52
860,-1.92,-10.09,-20.68
870,-0.82,-10.66,-20.17
880,-0.26,-11.17,-19.12
890,-0.95,-11.85,-17.96
900,-2.5,-12.11,-17.09
910,-4.41,-12.22,-16.16
920,-5.18,-12.33,-14.35
930,-4.37,-12.09,-11.07
940,-3.03,-11.28,-6.69
950,-1.13,-9.89,-2.35
960,0.85,-7.96,0.72
970,3.3,-7.07,2.74
980,4.82,-5.06,7.57
990,5.98,-3.84,10.94
1000,6.79,-2.26,12.8
