timestamp,x,y,z
0,-8.81,1.18,-9.31
10,-9.75,0.63,-9.06
20,-11.03,0.19,-9.22
30,-12.83,0.15,-9.67
40,-15.2,-0.17,-10.54
50,-16.81,-0.25,-11.63
60,-19.22,-1.06,-13.33
70,-19.82,-1.75,-14.7
80,-18.39,-2.63,-15.02
90,-15.64,-3.56,-14.22
100,-12.26,-4.36,-12.6
110,-8.86,-4.82,-11.09
120,-5.81,-5.09,-10.03
130,-2.63,-5.41,-9.53
140,0.52,-5.61,-9.23
150,3.44,-5.47,-9.03
160,5.92,-4.98,-8.61
170,7.92,-4.15,-8.01
180,9.48,-3.39,-7.18
190,10.37,-2.51,-6.44
200,10.59,-1.79,-5.93
210,10.33,-1.38,-6.23
220,10.26,-1.0,-7.76
230,10.4,-0.51,-9.6
240,10.5,-0.2,-10.9
250,10.3,0.02,-11.64
260,9.99,0.22,-11.75
270,9.81,0.55,-11.4
280,10.04,0.74,-10.74
290,10.46,0.88,-10.17
300,10.67,1.01,-9.92
310,10.34,1.06,-9.83
320,9.81,1.02,-9.71
330,9.44,0.97,-9.49
340,9.37,1.01,-9.27
350,9.73,0.99,-8.86
360,10.35,0.6,-7.97
370,11.08,-0.25,-6.68
380,12.01,-1.02,-5.16
390,12.9,-1.76,-3.69
400,13.72,-1.98,-2.57
410,14.81,-1.82,-2.23
420,15.97,-2.01,-2.36
430,16.4,-2.65,-2.88
440,15.32,-3.16,-3.5
450,12.53,-3.71,-4.01
460,9.86,-4.17,-4.47
470,8.33,-4.37,-5.55
480,7.45,-4.16,-6.92
490,5.6,-4.0,-7.52
500,2.32,-4.34,-7.26
510,-0.98,-4.55,-7.44
520,-3.98,-4.04,-9.55
530,-6.2,-3.31,-12.22
540,-8.12,-2.5,-14.14
550,-9.78,-2.12,-15.19
560,-11.39,-2.06,-15.16
570,-12.64,-2.33,-14.67
580,-13.07,-2.82,-14.6
590,-13.26,-3.43,-15.09
600,-14.04,-3.95,-16.18
610,-15.43,-4.23,-17.58
620,-16.54,-3.92,-18.82
630,-16.71,-3.26,-18.78
640,-15.54,-2.74,-16.74
650,-13.25,-2.48,-13.58
660,-11.22,-2.62,-10.49
670,-10.52,-3.1,-8.32
680,-12.17,-3.4,-8.23
690,-14.02,-3.31,-9.87
700,-14.64,-3.14,-11.65
710,-14.11,-3.08,-12.33
720,-13.2,-3.24,-11.4
730,-12.48,-3.64,-9.85
740,-12.18,-3.75,-8.89
750,-12.4,-3.68,-8.68
760,-13.0,-3.7,-8.58
770,-13.41,-3.94,-8.44
780,-13.24,-4.2,-8.47
790,-12.55,-4.6,-8.68
800,-11.77,-5.04,-8.86
810,-11.23,-5.5,-8.92
820,-10.55,-5.94,-8.87
830,-9.59,-6.3,-8.61
840,-8.58,-6.68,-7.83
850,-7.67,-7.04,-6.75
860,-6.7,-7.37,-6.02
870,-5.91,-7.39,-6.26
880,-5.46,-7.28,-7.16
890,-5.03,-7.48,-8.1
900,-4.32,-7.95,-8.41
910,-2.85,-8.45,-8.09
920,-0.63,-8.72,-7.27
930,1.71,-8.83,-6.26
940,3.7,-8.88,-5.2
950,5.62,-9.22,-4.57
960,7.57,-9.41,-4.64
970,9.89,-9.26,-5.35
980,12.2,-8.54,-6.1
990,14.27,-7.84,-6.63
1000,16.42,-7.46,-7.03
