timestamp,x,y,z
0,0.15,2.59,-9.7
10,0.07,2.53,-9.46
20,-0.09,2.53,-9.28
30,-0.43,2.62,-9.3
40,-0.75,2.59,-9.35
50,-0.96,2.51,-9.41
60,-1.25,2.43,-9.59
70,-1.39,2.38,-9.89
80,-1.69,2.51,-10.1
90,-2.05,2.48,-10.31
100,-2.2,2.42,-10.36
110,-2.0,2.36,-10.27
120,-1.45,2.29,-9.97
130,-0.83,2.23,-9.58
140,-0.53,2.11,-9.34
150,-0.61,1.98,-9.43
160,-0.59,1.88,-9.64
170,-0.71,1.75,-9.86
180,-1.42,1.7,-10.15
190,-2.85,1.53,-10.23
200,-4.33,1.3,-10.06
210,-5.23,0.99,-9.97
220,-5.57,1.03,-10.05
230,-5.93,1.17,-10.0
240,-6.29,1.44,-9.72
250,-6.35,1.85,-9.66
260,-6.87,1.94,-9.8
270,-7.97,1.8,-10.19
280,-9.2,1.57,-10.68
290,-10.05,1.15,-11.22
300,-10.09,1.02,-11.4
310,-8.66,0.73,-11.13
320,-5.91,0.4,-10.27
330,-3.15,0.18,-9.19
340,-1.16,0.01,-8.27
350,0.26,-0.22,-7.77
360,1.08,-0.24,-7.54
370,1.63,-0.11,-7.62
380,1.89,-0.02,-7.81
390,2.0,0.04,-7.96
400,2.22,0.1,-8.22
410,2.82,0.18,-8.52
420,3.56,0.27,-8.76
430,4.23,0.33,-9.03
440,4.99,0.35,-9.35
450,5.76,0.43,-9.73
460,6.44,0.54,-9.93
470,7.09,0.64,-9.72
480,7.7,0.63,-9.21
490,8.36,0.56,-8.75
500,8.99,0.5,-8.77
510,9.35,0.54,-9.27
520,9.28,0.69,-9.92
530,9.03,0.73,-10.47
540,8.81,0.73,-10.76
550,8.64,0.67,-10.91
560,8.66,0.54,-11.01
570,8.8,0.55,-10.87
580,9.2,0.56,-10.33
590,9.76,0.46,-9.62
600,10.25,0.45,-8.91
610,10.5,0.5,-8.38
620,10.37,0.37,-7.97
630,9.83,0.24,-7.83
640,9.18,0.06,-7.81
650,8.72,-0.31,-7.84
660,8.67,-0.42,-7.66
670,8.87,-0.34,-7.31
680,9.38,-0.61,-7.19
690,9.84,-0.91,-7.44
700,9.74,-1.32,-7.49
710,9.38,-1.95,-7.01
720,9.31,-2.33,-6.15
730,9.81,-2.61,-5.25
740,10.39,-3.34,-4.87
750,10.15,-3.59,-5.17
760,9.46,-3.81,-5.93
770,8.79,-4.01,-6.36
780,7.38,-4.45,-6.03
790,5.47,-4.98,-5.78
800,3.35,-5.23,-6.19
810,1.36,-5.29,-7.44
820,-0.96,-5.04,-9.56
830,-3.5,-4.29,-12.15
840,-5.93,-3.97,-14.09
850,-7.75,-3.11,-14.61
860,-8.64,-2.68,-13.56
870,-8.81,-2.64,-11.98
880,-9.29,-2.87,-11.21
890,-10.35,-3.28,-11.59
900,-12.02,-3.32,-12.85
910,-13.59,-3.42,-14.44
920,-14.77,-3.25,-15.61
930,-15.02,-2.84,-15.97
940,-14.1,-2.54,-15.26
950,-12.34,-2.38,-13.38
960,-10.19,-2.47,-11.34
970,-8.51,-2.48,-10.01
980,-8.3,-2.54,-9.5
990,-9.5,-2.61,-9.82
1000,-11.23,-2.74,-10.85
